-27.000000 54.769917  -27.000000 54.459602  -27.000000 54.533749  -27.000000 54.561016 
-26.900000 54.890332  -26.900000 54.581037  -26.900000 54.942796  -26.900000 54.837312 
-26.800000 54.393351  -26.800000 54.794170  -26.800000 54.942452  -26.800000 54.783256 
-26.700000 55.124534  -26.700000 54.825249  -26.700000 54.788236  -26.700000 55.039775 
-26.600000 55.003824  -26.600000 55.328992  -26.600000 55.101121  -26.600000 55.071532 
-26.500000 55.242727  -26.500000 54.989591  -26.500000 55.017612  -26.500000 55.163081 
-26.400000 55.363493  -26.400000 55.066336  -26.400000 55.061723  -26.400000 55.292459 
-26.300000 55.540240  -26.300000 55.223459  -26.300000 55.304378  -26.300000 55.289905 
-26.200000 55.291490  -26.200000 56.125859  -26.200000 55.242978  -26.200000 55.598045 
-26.100000 56.336465  -26.100000 55.760780  -26.100000 55.455126  -26.100000 55.543399 
-26.000000 56.966339  -26.000000 55.875340  -26.000000 55.822358  -26.000000 55.603807 
-25.900000 55.456350  -25.900000 55.671728  -25.900000 56.004716  -25.900000 55.821407 
-25.800000 55.844233  -25.800000 56.008772  -25.800000 55.748490  -25.800000 55.835385 
-25.700000 56.990277  -25.700000 55.801523  -25.700000 55.845873  -25.700000 56.094223 
-25.600000 56.823945  -25.600000 55.768991  -25.600000 56.212145  -25.600000 56.191436 
-25.500000 55.923948  -25.500000 55.845185  -25.500000 56.008183  -25.500000 56.158648 
-25.400000 57.967489  -25.400000 56.115927  -25.400000 56.447243  -25.400000 56.234771 
-25.300000 56.447100  -25.300000 56.422895  -25.300000 56.412816  -25.300000 56.291604 
-25.200000 56.031821  -25.200000 55.909235  -25.200000 56.618099  -25.200000 56.462311 
-25.100000 57.041466  -25.100000 56.710615  -25.100000 56.519931  -25.100000 56.512108 
-25.000000 56.997216  -25.000000 56.548669  -25.000000 56.751975  -25.000000 56.850701 
-24.900000 57.044319  -24.900000 56.675507  -24.900000 56.768311  -24.900000 56.710591 
-24.800000 57.035992  -24.800000 56.843395  -24.800000 56.643590  -24.800000 56.906902 
-24.700000 56.325746  -24.700000 57.168939  -24.700000 56.767148  -24.700000 57.167834 
-24.600000 57.729381  -24.600000 56.840236  -24.600000 57.311285  -24.600000 57.121683 
-24.500000 57.020534  -24.500000 57.470856  -24.500000 57.430517  -24.500000 57.118539 
-24.400000 58.431617  -24.400000 56.937642  -24.400000 57.110537  -24.400000 57.267123 
-24.300000 56.981185  -24.300000 56.873785  -24.300000 57.433877  -24.300000 57.436465 
-24.200000 57.666170  -24.200000 57.220893  -24.200000 57.405523  -24.200000 57.404144 
-24.100000 57.475389  -24.100000 57.735948  -24.100000 57.583632  -24.100000 57.529559 
-24.000000 57.852226  -24.000000 57.339649  -24.000000 57.650291  -24.000000 57.541482 
-23.900000 58.027724  -23.900000 57.430053  -23.900000 57.877698  -23.900000 57.854634 
-23.800000 57.228429  -23.800000 58.042660  -23.800000 58.170925  -23.800000 57.916205 
-23.700000 57.721161  -23.700000 57.947516  -23.700000 57.785689  -23.700000 57.987118 
-23.600000 57.485703  -23.600000 57.897086  -23.600000 58.052570  -23.600000 58.047936 
-23.500000 56.799043  -23.500000 58.239683  -23.500000 58.184148  -23.500000 58.273239 
-23.400000 59.899367  -23.400000 58.075198  -23.400000 58.087558  -23.400000 58.243436 
-23.300000 58.307284  -23.300000 58.596751  -23.300000 58.263247  -23.300000 58.281962 
-23.200000 60.362282  -23.200000 58.338782  -23.200000 58.570291  -23.200000 58.543921 
-23.100000 57.723374  -23.100000 57.933276  -23.100000 58.458318  -23.100000 58.578152 
