-16.700000 6.874741  -16.700000 62.243061  -16.700000 63.845901  -16.700000 63.154694 
-16.600000 6.787994  -16.600000 64.389269  -16.600000 62.769697  -16.600000 63.191763 
-16.500000 6.702952  -16.500000 62.873753  -16.500000 63.974154  -16.500000 63.315697 
-16.400000 6.619573  -16.400000 62.575675  -16.400000 62.819690  -16.400000 63.473003 
-16.300000 6.537812  -16.300000 63.572064  -16.300000 63.506777  -16.300000 63.561973 
-16.200000 6.457628  -16.200000 63.498789  -16.200000 63.224215  -16.200000 63.542034 
-16.100000 6.378980  -16.100000 64.726527  -16.100000 64.344231  -16.100000 63.968220 
-16.000000 6.301830  -16.000000 64.591109  -16.000000 63.691998  -16.000000 63.658367 
-15.900000 6.226141  -15.900000 63.342492  -15.900000 63.599287  -15.900000 63.888343 
-15.800000 6.151876  -15.800000 63.484011  -15.800000 63.910058  -15.800000 64.130005 
-15.700000 6.078998  -15.700000 63.797805  -15.700000 63.143034  -15.700000 64.170675 
-15.600000 6.007472  -15.600000 64.866861  -15.600000 63.555000  -15.600000 64.389524 
-15.500000 5.937269  -15.500000 63.666528  -15.500000 63.867412  -15.500000 64.321805 
-15.400000 5.868354  -15.400000 63.581680  -15.400000 64.516528  -15.400000 64.209687 
-15.300000 5.800697  -15.300000 64.752869  -15.300000 65.077857  -15.300000 64.378189 
-15.200000 5.734267  -15.200000 64.586761  -15.200000 64.928946  -15.200000 64.550239 
-15.100000 5.669034  -15.100000 64.518172  -15.100000 64.443931  -15.100000 63.071598 
-15.000000 5.604971  -15.000000 65.254548  -15.000000 63.995119  -15.000000 63.546575 
-14.900000 5.542049  -14.900000 63.645096  -14.900000 63.754467  -14.900000 63.426097 
-14.800000 5.480244  -14.800000 65.539553  -14.800000 64.810267  -14.800000 64.739122 
-14.700000 5.419496  -14.700000 64.602818  -14.700000 64.794921  -14.700000 64.056790 
-14.600000 5.359577  -14.600000 63.958003  -14.600000 64.476075  -14.600000 63.162792 
-14.500000 5.300593  -14.500000 64.055035  -14.500000 63.717698  -14.500000 62.606808 
-14.400000 5.242791  -14.400000 64.206607  -14.400000 63.998852  -14.400000 63.702731 
-14.300000 5.185787  -14.300000 65.286542  -14.300000 63.624517  -14.300000 65.053729 
-14.200000 5.129573  -14.200000 62.944216  -14.200000 63.730457  -14.200000 62.039090 
-14.100000 5.074141  -14.100000 64.893885  -14.100000 62.982349  -14.100000 62.305264 
-14.000000 5.019482  -14.000000 62.506715  -14.000000 64.297991  -14.000000 64.609644 
-13.900000 4.965588  -13.900000 63.439311  -13.900000 63.207770  -13.900000 61.305936 
-13.800000 4.912450  -13.800000 63.667501  -13.800000 62.042665  -13.800000 63.515978 
-13.700000 4.860059  -13.700000 62.383311  -13.700000 62.558170  -13.700000 64.240435 
-13.600000 4.808404  -13.600000 63.972115  -13.600000 63.589653  -13.600000 62.536882 
-13.500000 4.757479  -13.500000 62.587567  -13.500000 61.981696  -13.500000 62.020251 
-13.400000 4.707273  -13.400000 61.866869  -13.400000 62.294217  -13.400000 62.069052 
-13.300000 4.657776  -13.300000 62.462625  -13.300000 62.332292  -13.300000 61.666287 
-13.200000 4.608906  -13.200000 61.702100  -13.200000 61.801176  -13.200000 62.109982 
-13.100000 4.560597  -13.100000 62.980141  -13.100000 62.506740  -13.100000 61.987938 
-13.000000 4.512846  -13.000000 62.898545  -13.000000 62.610410  -13.000000 61.800315 
-12.900000 4.465653  -12.900000 63.411404  -12.900000 62.279630  -12.900000 61.930346 
-12.800000 4.419013  -12.800000 62.276632  -12.800000 61.929128  -12.800000 61.941825 
-12.700000 4.372931  -12.700000 62.826577  -12.700000 61.822646  -12.700000 61.875959 
-12.600000 4.327395  -12.600000 62.672345  -12.600000 63.028800  -12.600000 62.573363 
-12.500000 4.282326  -12.500000 62.768332  -12.500000 62.898300  -12.500000 62.353124 
-12.400000 4.237700  -12.400000 63.418612  -12.400000 62.468515  -12.400000 62.462877 
-12.300000 4.193584  -12.300000 63.054003  -12.300000 62.755457  -12.300000 62.079289 
-12.200000 4.149896  -12.200000 62.975069  -12.200000 62.409638  -12.200000 62.425673 
-12.100000 4.106123  -12.100000 63.318840  -12.100000 62.611284  -12.100000 62.530763 
-12.000000 4.062560  -12.000000 62.137963  -12.000000 63.242040  -12.000000 62.692791 
-11.900000 4.019166  -11.900000 62.753956  -11.900000 62.939149  -11.900000 62.929167 
-11.800000 3.975902  -11.800000 63.030294  -11.800000 63.062120  -11.800000 62.881441 
-11.700000 3.929254  -11.700000 63.399325  -11.700000 63.230069  -11.700000 63.280887 
-11.600000 3.886150  -11.600000 63.901513  -11.600000 63.499276  -11.600000 62.995147 
-11.500000 3.843244  -11.500000 63.174287  -11.500000 63.066926  -11.500000 63.377560 
-11.400000 3.800543  -11.400000 64.030983  -11.400000 63.329459  -11.400000 63.547936 
-11.300000 3.737525  -11.300000 63.826484  -11.300000 63.092385  -11.300000 63.478925 
-11.200000 3.694596  -11.200000 63.302482  -11.200000 62.793843  -11.200000 63.371096 
-11.100000 3.651987  -11.100000 62.110540  -11.100000 63.450116  -11.100000 63.401673 
-11.000000 3.609852  -11.000000 64.500165  -11.000000 63.786505  -11.000000 63.712508 
-10.900000 3.568245  -10.900000 63.325109  -10.900000 64.012491  -10.900000 63.572195 
-10.800000 3.527233  -10.800000 64.590677  -10.800000 64.248842  -10.800000 63.825066 
-10.700000 3.486610  -10.700000 63.708507  -10.700000 63.825298  -10.700000 63.851823 
-10.600000 3.446344  -10.600000 63.357664  -10.600000 63.252631  -10.600000 62.711200 
-10.500000 3.406187  -10.500000 64.503912  -10.500000 64.399944  -10.500000 64.308328 
-10.400000 3.366299  -10.400000 64.381750  -10.400000 63.821280  -10.400000 62.757135 
-10.300000 3.326612  -10.300000 65.078772  -10.300000 64.138059  -10.300000 64.067748 
-10.200000 3.287081  -10.200000 65.300774  -10.200000 64.966708  -10.200000 64.198994 
-10.100000 3.247765  -10.100000 64.960877  -10.100000 63.037362  -10.100000 64.485867 
-10.000000 3.208711  -10.000000 64.294260  -10.000000 64.979667  -10.000000 64.639103 
-9.900000 3.169894  -9.900000 64.222173  -9.900000 64.097057  -9.900000 64.510586 
-9.800000 3.131314  -9.800000 64.574412  -9.800000 64.697262  -9.800000 64.760308 
-9.700000 3.093030  -9.700000 65.274051  -9.700000 64.337892  -9.700000 64.639746 
-9.600000 3.054990  -9.600000 65.573279  -9.600000 63.816416  -9.600000 64.931644 
